Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
BLUEPRINT	monocyte monocyte   RPMI T 6days venous blood	monocyte.monocyte...RPMI_T.6days.venous.blood	0.5809122266	0.8783718061	blood, monocyte
BLUEPRINT	monocyte monocyte   T 0days venous blood	monocyte.monocyte...T.0days.venous.blood	0.5489509136	0.8802484073	blood, monocyte
BLUEPRINT	mononuclear cell of bone marrow Acute Myeloid Leukemia bone marrow	mononuclear.cell.of.bone.marrow.Acute.Myeloid.Leukemia.bone.marrow	0.5859580036	0.8428715431	blood, mononuclear, cancer
BLUEPRINT	myeloid cell Acute Myeloid Leukemia   CTR bone marrow	myeloid.cell.Acute.Myeloid.Leukemia...CTR.bone.marrow	0.4645777412	0.7879055672	blood, myeloid, cancer
BLUEPRINT	myeloid cell Acute Myeloid Leukemia   CTR venous blood	myeloid.cell.Acute.Myeloid.Leukemia...CTR.venous.blood	0.6525188976	0.8025546611	blood, myeloid, cancer
BLUEPRINT	myeloid cell Acute Myeloid Leukemia bone marrow	myeloid.cell.Acute.Myeloid.Leukemia.bone.marrow	0.6517108751	0.8513025809	blood, myeloid, cancer
BLUEPRINT	myeloid cell Acute Myeloid Leukemia venous blood	myeloid.cell.Acute.Myeloid.Leukemia.venous.blood	0.722370179	0.8767413006	blood, myeloid, cancer
BLUEPRINT	myeloid cell Acute Promyelocytic Leukemia   ATRA bone marrow	myeloid.cell.Acute.Promyelocytic.Leukemia...ATRA.bone.marrow	0.5066246781	0.7968203846	blood, myeloid, cancer
BLUEPRINT	myeloid cell Acute Promyelocytic Leukemia   CTR bone marrow	myeloid.cell.Acute.Promyelocytic.Leukemia...CTR.bone.marrow	0.5149340122	0.8209779108	blood, myeloid, cancer
BLUEPRINT	naive B cell naive B cell venous blood	naive.B.cell.naive.B.cell.venous.blood	0.5644482064	0.8813670276	blood, B cell
BLUEPRINT	neutrophilic metamyelocyte neutrophilic metamyelocyte bone marrow	neutrophilic.metamyelocyte.neutrophilic.metamyelocyte.bone.marrow	0.6489906599	0.8830319779	blood, neutrophil
BLUEPRINT	neutrophilic myelocyte neutrophilic myelocyte bone marrow	neutrophilic.myelocyte.neutrophilic.myelocyte.bone.marrow	0.6367463423	0.8882322787	blood, neutrophil
BLUEPRINT	osteoclast osteoclast venous blood	osteoclast.osteoclast.venous.blood	0.6741203237	0.887195895	blood, osteoclast
BLUEPRINT	peripheral blood mononuclear cell Acute Myeloid Leukemia venous blood	peripheral.blood.mononuclear.cell.Acute.Myeloid.Leukemia.venous.blood	0.6078293316	0.8380701302	blood, mononuclear, cancer
BLUEPRINT	plasma cell Multiple Myeloma bone marrow	plasma.cell.Multiple.Myeloma.bone.marrow	0.6644140013	0.6619086718	blood, plasma, cancer
BLUEPRINT	plasma cell plasma cell bone marrow	plasma.cell.plasma.cell.bone.marrow	0.7790494316	0.8216162623	blood, plasma
BLUEPRINT	plasma cell plasma cell tonsil	plasma.cell.plasma.cell.tonsil	0.730332643	0.8526616438	blood, plasma
BLUEPRINT	precursor B cell Acute Lymphocytic Leukemia bone marrow	precursor.B.cell.Acute.Lymphocytic.Leukemia.bone.marrow	0.6947865802	0.8343406564	blood, B cell, cancer
BLUEPRINT	precursor B cell Acute Lymphocytic Leukemia venous blood	precursor.B.cell.Acute.Lymphocytic.Leukemia.venous.blood	0.586350442	0.833563431	blood, B cell, cancer
BLUEPRINT	precursor B cell precursor B cell bone marrow	precursor.B.cell.precursor.B.cell.bone.marrow	0.5471616738	0.8993807316	blood, B cell, cancer
BLUEPRINT	precursor lymphocyte of B lineage precursor lymphocyte of B lineage bone marrow	precursor.lymphocyte.of.B.lineage.precursor.lymphocyte.of.B.lineage.bone.marrow	0.5345631262	0.8956517508	blood, B cell
BLUEPRINT	regulatory T cell regulatory T cell venous blood	regulatory.T.cell.regulatory.T.cell.venous.blood	0.7500268713	0.8654709059	blood, T cell
